#      n_Li         E_nn       E_site            f          f_I          D_t       D_c oll       n_oct        n_tet

# E_nn = 0.0 E_site = 0.0
          1          0.5          3.0        0.991        0.991    8.476E-08    8.476E-08     9.06E-02     9.09E-01
         32          0.5          3.0        0.862        0.951     6.95E-08     7.66E-08         3.02        28.98
         64          0.5          3.0        0.733        0.846    5.527E-08    6.378E-08         6.43        57.57
         96          0.5          3.0        0.610        0.769    4.287E-08    5.402E-08        10.61        85.39
        128          0.5          3.0        0.507        0.693    3.296E-08    4.508E-08        16.37       111.63
        160          0.5          3.0        0.429        0.611    2.576E-08    3.669E-08        25.21       134.79
        192          0.5          3.0        0.395        0.597    2.180E-08    3.300E-08        39.35       152.65
        224          0.5          3.0        0.396        0.612    2.019E-08    3.114E-08        59.74       164.26
        256          0.5          3.0        0.414        0.680    1.945E-08    3.196E-08        84.87       171.13
        288          0.5          3.0        0.429        0.749    1.857E-08    3.243E-08       112.70       175.30
        320          0.5          3.0        0.433        0.798    1.715E-08    3.162E-08       141.91       178.09
        352          0.5          3.0        0.429        0.828    1.536E-08    2.966E-08       171.82       180.18
        384          0.5          3.0        0.414        0.872    1.319E-08    2.779E-08       202.09       181.91
        416          0.5          3.0        0.394        0.909    1.086E-08    2.505E-08       232.51       183.49
        448          0.5          3.0        0.370        0.934    8.486E-09    2.139E-08       262.97       185.03
        480          0.5          3.0        0.343        0.942    6.133E-09    1.683E-08       293.40       186.60
        512          0.5          3.0        0.314        0.972    3.889E-09    1.204E-08       323.73       188.27
        544          0.5          3.0        0.283        0.987    1.821E-09    6.344E-09       353.95       190.05
        575          0.5          3.0        0.251        0.993    5.227E-11    2.065E-10       383.06       191.94

# E_nn = 0.5 E_site = 4.0
          1          0.5          4.0        1.007        1.007    3.359E-08    3.359E-08     3.53E-02     9.65E-01
         32          0.5          4.0        0.841        0.915     2.63E-08     2.87E-08         1.18        30.82
         64          0.5          4.0        0.686        0.798    2.003E-08    2.328E-08         2.53        61.47
         96          0.5          4.0        0.538        0.686    1.457E-08    1.857E-08         4.26        91.74
        128          0.5          4.0        0.402        0.558    1.001E-08    1.391E-08         6.91       121.09
        160          0.5          4.0        0.297        0.433    6.781E-09    9.884E-09        12.10       147.90
        192          0.5          4.0        0.255        0.389    5.313E-09    8.109E-09        23.90       168.10
        224          0.5          4.0        0.284        0.430    5.444E-09    8.231E-09        45.40       178.60
        256          0.5          4.0        0.336        0.532    5.928E-09    9.400E-09        72.89       183.11
        288          0.5          4.0        0.375        0.642    6.109E-09    1.044E-08       102.72       185.28
        320          0.5          4.0        0.397        0.721    5.920E-09    1.075E-08       133.45       186.55
        352          0.5          4.0        0.404        0.767    5.462E-09    1.036E-08       164.57       187.43
        384          0.5          4.0        0.399        0.836    4.789E-09    1.005E-08       195.88       188.12
        416          0.5          4.0        0.385        0.873    4.006E-09    9.093E-09       227.26       188.74
        448          0.5          4.0        0.364        0.919    3.161E-09    7.978E-09       258.66       189.34
        480          0.5          4.0        0.340        0.924    2.304E-09    6.269E-09       290.06       189.94
        512          0.5          4.0        0.312        0.953    1.470E-09    4.490E-09       321.43       190.57
        544          0.5          4.0        0.283        0.980    6.934E-10    2.404E-09       352.74       191.26
        575          0.5          4.0        0.250        0.991    1.997E-11    7.905E-11       383.02       191.98

# E_nn = 0.5 E_site = 5.0
          1          0.5          5.0        0.994        0.994    1.248E-08    1.248E-08     1.33E-02     9.87E-01
